unix,date,symbol,open,high,low,close,Volume USD,Volume BTC,is higher lower
1617336000,2021-04-02 05:00:00,BTC/USD,59829.67,59980.35,59410.48,59553.04,7678768.13,128.9399858,0
1617346800,2021-04-02 08:00:00,BTC/USD,59521.68,59713.15,59260.19,59454.71,11027991.27,185.4855784,1
1617354000,2021-04-02 10:00:00,BTC/USD,59463.81,59726.73,59220.04,59669.12,13180530.61,220.8936651,0
1617361200,2021-04-02 12:00:00,BTC/USD,59634.32,59698.1,59435.44,59570.82,11012953.71,184.8716151,0
1617372000,2021-04-02 15:00:00,BTC/USD,59213.47,59627.94,58999.79,59339.35,5444973.44,91.75991042,0
1617382800,2021-04-02 18:00:00,BTC/USD,59263.09,59645.83,59074.05,59206.09,3442624.427,58.14645802,0
1617390000,2021-04-02 20:00:00,BTC/USD,59110.9,59293.66,58503.74,58864.8,7435954.716,126.3226022,0
1617400800,2021-04-02 23:00:00,BTC/USD,58778.71,58978.98,58451.65,58850.55,4761821.449,80.91379688,1
1617418800,2021-04-03 04:00:00,BTC/USD,59416.75,59455.0,58791.46,59219.84,2360421.582,39.85862815,1
1617433200,2021-04-03 08:00:00,BTC/USD,59412.07,59550.0,59200.79,59316.99,3501057.53,59.02284539,1
1617444000,2021-04-03 11:00:00,BTC/USD,59434.9,59801.39,58710.51,59333.6,4513362.125,76.0675591,0
1617465600,2021-04-03 17:00:00,BTC/USD,58843.0,59476.18,58600.0,58763.46,4466574.084,76.00937869,0
1617472800,2021-04-03 19:00:00,BTC/USD,58243.08,58806.8,57777.77,58471.86,10232295.73,174.9952153,0
1617483600,2021-04-03 22:00:00,BTC/USD,58035.61,58756.08,57502.5,57651.7,5933040.451,102.911804,0
1617490800,2021-04-04 00:00:00,BTC/USD,57554.93,57822.79,56922.0,57064.42,8005688.517,140.292121,0
1617498000,2021-04-04 02:00:00,BTC/USD,56707.02,57241.26,56466.25,56981.29,7073502.636,124.137285,1
1617508800,2021-04-04 05:00:00,BTC/USD,57546.14,57709.0,56973.44,57579.14,5071044.236,88.07085753,1
1617519600,2021-04-04 08:00:00,BTC/USD,57478.41,57674.14,57203.49,57638.46,4555808.42,79.04111976,0
1617534000,2021-04-04 12:00:00,BTC/USD,57737.35,57793.69,57171.36,57291.49,3005335.123,52.45692027,1
1617544800,2021-04-04 15:00:00,BTC/USD,58200.0,58315.65,57039.85,58130.02,3132234.0,53.88324311,0
1617562800,2021-04-04 20:00:00,BTC/USD,58122.47,58501.0,57670.75,57969.03,1633231.686,28.17421106,1
