unix,date,symbol,open,high,low,close,Volume USD,Volume BTC,next close,awesomeOscillator,percentageOscillator,momentumStochRSI,ultimateOscillator,avgTrueRange,mAVG,ADX,MACD,weightedAVG,close_copy
1582164000,2020-02-20 03:00:00,BTC/USD,9600.0,9649.86,9484.16,9571.67,8045394.85,842.12,9600.97,-64.03076470587985,-0.578447028813936,0.0,-55.54267179096867,101.24248897728792,9862.695,19.62022551786047,-57.39992490897748,9855.654,9571.67
1582189200,2020-02-20 10:00:00,BTC/USD,9577.23,9626.99,9526.83,9600.97,1907809.79,199.15,9596.66,-168.22852941176643,-0.7502268871643344,0.0577435266921296,-52.07608549360202,97.96231119319592,9855.8905,20.442437569607797,-74.26680638455036,9782.995111111111,9600.97
1582207200,2020-02-20 15:00:00,BTC/USD,9588.86,9634.5,9525.7,9596.66,2488164.67,259.07,9636.6,-280.8088235294126,-0.8806373189537064,0.0519624858033219,-81.55259775529193,93.36000325082482,9840.079,21.151009337424306,-86.97907185533222,9721.750666666669,9596.66
1582214400,2020-02-20 17:00:00,BTC/USD,9577.81,9706.27,9396.91,9636.6,9197355.36,960.49,9528.81,-368.5077058823517,-0.9408779883772396,0.1387318381825065,-54.30105042035418,94.52071730433735,9833.3395,21.27912324097345,-92.76151264463078,9680.212222222222,9636.6
1582221600,2020-02-20 19:00:00,BTC/USD,9502.15,9661.64,9435.82,9528.81,3238103.28,339.88,9711.24,-358.947411764706,-1.065968020736913,0.0,-97.7964956322809,89.55780892545606,9823.43,21.6001212456072,-104.83343619584956,9627.059111111112,9528.81
1582254000,2020-02-21 04:00:00,BTC/USD,9661.16,9727.26,9519.63,9711.24,2300234.79,237.69,9705.47,-326.6221176470608,-1.0029473640638369,0.3719853128509692,0.4936086217041056,97.33582257363784,9826.2015,21.404710889564598,-98.5439924118109,9625.764444444443,9711.24
1582282800,2020-02-21 12:00:00,BTC/USD,9686.53,9748.76,9617.22,9705.47,6506167.59,669.11,9716.08,-284.4872352941184,-0.946907106710528,0.3627572720677959,0.3451628721106092,93.06326381837802,9830.9745,21.06182871034921,-92.95364195523324,9632.807555555555,9705.47
1582304400,2020-02-21 18:00:00,BTC/USD,9746.22,9773.2,9671.08,9716.08,1098587.85,112.96,9696.13,-238.99635294117616,-0.8835464877893742,0.3844783022233093,4.1126985308739705,91.25374497420826,9831.921,20.553985243377745,-86.66805522195864,9652.258444444444,9716.08
1582326000,2020-02-22 00:00:00,BTC/USD,9670.84,9743.6,9562.6,9696.13,1990094.46,205.11,9655.35,-211.98799999999935,-0.8402142736612942,0.3481912392487604,-0.2903578809620906,86.70133461890771,9826.348499999998,20.25951078738555,-82.34723307797503,9665.63511111111,9696.13
1582380000,2020-02-22 15:00:00,BTC/USD,9667.65,9722.39,9568.51,9655.35,635862.12,65.76,9697.57,-180.72947058823596,-0.8302030613028992,0.3077027402431779,-10.13899652537468,82.38409643184289,9827.0845,20.115904957235408,-81.27664896997703,9668.624444444444,9655.35
